,Boat Type,Manufacturer,Condition,Year Built,Length,Width,Material,Number of views last 7 days,Price in usd,Country
6618,Motor Yacht,SBM power boats,"Used boat,Diesel",2015,8.6,2.55,GRP,58,96300.0,Germany
6621,Pontoon Boat,Airon Marine power boats,"Used boat,Diesel",2004,10.34,3.2,GRP,99,96300.0,Italy
6624,Cabin Boat,Nuova Jolly power boats,"Used boat,Unleaded",2009,9.92,3.77,Hypalon,74,96300.0,France
6625,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2005,10.8,3.44,PVC,68,96300.0,France
6626,Motor Yacht,Riviera power boats,Used boat,1997,13.6,3.35,GRP,115,96300.0,France
6627,Pilothouse,Cantieri Navali di Livorno power boats,"Used boat,Diesel",2009,9.23,3.46,GRP,62,96300.0,Italy
6628,Motor Yacht,ManÃ² power boats,Used boat,2011,9.92,3.2,GRP,49,96300.0,Italy
6630,Motor Yacht,Colombo power boats,"Used boat,Diesel",2004,10.54,2.98,GRP,130,96300.0,Italy
6631,Motor Yacht,Aquador power boats,Used boat,2006,8.8,3.1,GRP,231,96300.0,Finland
6632,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2018,7.98,2.94,PVC,52,96300.0,Portugal
6633,Sport Boat,Rand Boats power boats,"Display Model,Unleaded",2019,7.4,2.51,PVC,235,96300.0,Switzerland
6634,Wakeboard/Wakesurf,Nautique power boats,"Used boat,Unleaded",2013,7.6,2.6,GRP,245,96300.0,Italy
6636,Offshore Boat,Performance power boats,"Used boat,Unleaded",1995,11.0,3.0,Plastic,401,96300.0,Italy
6637,Motor Yacht,Sessa power boats,"Used boat,Unleaded",2014,11.0,3.0,GRP,111,96300.0,Italy
6638,Motor Yacht,Airon Marine power boats,"Used boat,Diesel",2006,11.76,3.7,GRP,203,96300.0,Italy
6639,Sport Boat,MasterCraft power boats,"Used boat,Unleaded",2017,6.1,2.49,GRP,275,96298.93000000001,Germany
6640,Flybridge,Rodman power boats,"Used boat,Diesel",1998,12.5,4.2,PVC,66,96289.3,France
6642,Pilothouse,BÃ©nÃ©teau power boats,"Display Model,Unleaded",2019,7.99,2.8,GRP,93,96246.5,Germany
6643,Motor Yacht,Sessa power boats,"Used boat,Diesel",2003,10.6,3.55,GRP,90,95765.0,Germany
6644,Pilothouse,Quicksilver power boats,new boat from stock,0,8.91,2.98,GRP,173,95765.0,Germany
6645,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2016,8.39,2.59,PVC,191,95765.0,Poland
6646,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2017,7.95,2.95,PVC,50,95765.0,France
6650,Motor Yacht,Bayliner power boats,Used boat,1997,12.8,4.1,GRP,147,95765.0,Netherlands
